Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.14_07.33.14,60,-95,-11,15,13,-78,58123,984,551.45
2017.12.14_07.33.15,60,-95,-11,15,13,-78,51658,901,551.45
2017.12.14_07.33.17,60,-94,-11,18,13,-78,39658,714,551.45
2017.12.14_07.33.18,60,-94,-11,18,13,-78,58995,1027,551.45
2017.12.14_07.33.19,60,-100,-11,17,9,-83,43315,758,551.45
2017.12.14_07.33.20,60,-100,-11,17,12,-76,46547,1228,551.45
2017.12.14_07.33.21,60,-96,-12,15,11,-76,54343,950,551.45
2017.12.14_07.33.22,60,-96,-12,15,11,-76,59823,1050,551.45
2017.12.14_07.33.23,60,-94,-11,20,11,-79,51267,924,551.45
2017.12.14_07.33.24,60,-94,-11,20,11,-81,59129,1355,551.45
2017.12.14_07.33.25,60,-98,-11,19,11,-85,55741,993,551.45
2017.12.14_07.33.26,51,-98,-11,19,11,-85,55741,993,818.9
2017.12.14_07.33.26,51,-98,-11,19,12,-79,62540,1116,818.9
2017.12.14_07.33.27,51,-96,-11,20,11,-89,44169,1116,818.9
2017.12.14_07.33.28,51,-96,-11,20,11,-86,43964,805,818.9
2017.12.14_07.33.30,51,-103,-12,18,11,-86,43662,798,818.9
2017.12.14_07.33.31,51,-103,-12,18,10,-88,39938,725,818.9
2017.12.14_07.33.32,51,-99,-12,15,11,-82,55841,1002,818.9
2017.12.14_07.33.33,51,-99,-12,15,8,-84,45563,817,818.9
2017.12.14_07.33.34,51,-106,-12,14,9,-84,33909,617,818.9
2017.12.14_07.33.35,51,-106,-12,14,8,-93,30867,567,818.9
2017.12.14_07.33.36,51,-110,-12,11,9,-89,31852,571,818.9
2017.12.14_07.33.37,51,-110,-12,11,9,-93,33384,608,818.9
2017.12.14_07.33.38,51,-110,-12,11,9,-93,28362,510,818.9
2017.12.14_07.33.39,51,-110,-12,11,9,-93,24604,450,818.9
2017.12.14_07.33.40,51,-109,-12,10,9,-93,21540,396,818.9
2017.12.14_07.33.42,51,-109,-12,10,8,-91,22401,411,818.9
2017.12.14_07.33.43,51,-108,-12,7,6,-94,21573,633,818.9
2017.12.14_07.33.44,51,-108,-12,7,8,-90,23710,435,818.9
2017.12.14_07.33.45,51,-108,-12,8,7,-92,21887,397,818.9
2017.12.14_07.33.46,51,-108,-12,8,8,-89,20254,374,818.9
2017.12.14_07.33.47,51,-106,-12,7,9,-93,15165,279,818.9
2017.12.14_07.33.48,51,-106,-12,7,9,-93,19572,687,818.9
2017.12.14_07.33.49,51,-110,-13,6,9,-94,15858,287,818.9
2017.12.14_07.33.50,51,-110,-13,6,6,-94,14595,270,818.9
2017.12.14_07.33.52,51,-111,-11,9,8,-94,13018,237,1855.71
2017.12.14_07.33.53,51,-111,-11,9,6,-94,12316,225,1855.71
2017.12.14_07.33.54,51,-109,-13,6,11,-94,19952,367,818.9
2017.12.14_07.33.55,51,-109,-13,6,6,-94,15042,278,818.9
2017.12.14_07.33.56,51,-113,-13,7,9,-87,26539,484,818.9
2017.12.14_07.33.57,51,-113,-13,4,8,-94,28675,529,818.9
2017.12.14_07.33.58,51,-111,-13,7,6,-94,16731,310,818.9
2017.12.14_07.34.00,51,-111,-13,7,6,-94,10602,195,818.9
2017.12.14_07.34.01,51,-114,-13,1,7,-94,10647,195,818.9
2017.12.14_07.34.02,51,-114,-13,1,7,-94,13185,235,818.9
2017.12.14_07.34.03,51,-116,-13,4,7,-94,14375,599,818.9
2017.12.14_07.34.04,51,-116,-13,4,6,-94,13879,254,818.9
2017.12.14_07.34.05,51,-112,-13,5,6,-94,14639,266,818.9
2017.12.14_07.34.06,51,-112,-13,5,7,-94,15971,284,818.9
2017.12.14_07.34.07,51,-112,-12,5,7,-94,18408,336,1855.71
2017.12.14_07.34.09,51,-112,-12,5,10,-84,50685,1184,1855.71
2017.12.14_07.34.10,51,-101,-12,8,7,-94,18800,349,1855.71
2017.12.14_07.34.11,51,-101,-12,8,7,-94,21081,388,1855.71
2017.12.14_07.34.12,51,-113,-12,5,7,-94,17133,317,1855.71
2017.12.14_07.34.13,51,-113,-12,5,7,-94,25443,466,1855.71
2017.12.14_07.34.14,51,-113,-12,5,8,-94,24940,456,1855.71
2017.12.14_07.34.15,51,-113,-12,5,8,-94,30308,540,1855.71
2017.12.14_07.34.16,51,-111,-12,6,8,-94,29167,534,1855.71
2017.12.14_07.34.17,51,-111,-12,6,8,-94,17200,317,1855.71
2017.12.14_07.34.18,51,-110,-12,4,6,-94,15713,290,1855.71
2017.12.14_07.34.20,51,-110,-12,4,6,-94,11978,221,1855.71
2017.12.14_07.34.21,51,-111,-12,3,6,-94,13286,246,1855.71
2017.12.14_07.34.22,51,-111,-12,3,6,-94,8947,165,1855.71
2017.12.14_07.34.23,51,-114,-13,2,6,-94,10536,196,1855.71
2017.12.14_07.34.24,51,-114,-13,2,6,-94,10099,186,1855.71
2017.12.14_07.34.25,51,-119,-14,1,7,-94,8522,431,1855.71
2017.12.14_07.34.26,51,-119,-14,1,7,-94,3724,212,1855.71
2017.12.14_07.34.28,51,-119,-12,-1,7,-94,2348,65,1855.71
2017.12.14_07.34.29,51,-119,-12,-1,7,-94,2303,42,1855.71
2017.12.14_07.34.30,51,-122,-13,-1,7,-94,1364,24,1855.71
2017.12.14_07.34.31,51,-122,-13,-1,7,-94,5290,98,1855.71
2017.12.14_07.34.32,51,-119,-13,-1,8,-94,9685,179,1855.71
2017.12.14_07.34.33,51,-119,-13,-1,8,-94,9204,170,1855.71
2017.12.14_07.34.34,51,-117,-13,-1,6,-94,11195,330,1855.71
2017.12.14_07.34.35,51,-117,-13,-1,6,-94,12951,566,1855.71
2017.12.14_07.34.36,51,-113,-13,2,11,-93,16764,308,1855.71
2017.12.14_07.34.38,51,-113,-13,2,6,-94,10266,190,1855.71
2017.12.14_07.34.39,51,-112,-12,4,6,-94,14192,255,1855.71
2017.12.14_07.34.40,51,-112,-12,4,6,-94,19001,352,1855.71
2017.12.14_07.34.41,51,-108,-12,4,9,-91,18420,340,1855.71
2017.12.14_07.34.42,51,-108,-12,4,8,-94,12257,229,1855.71
2017.12.14_07.34.43,51,-108,-13,1,9,-94,15858,289,1855.71
2017.12.14_07.34.44,59,-108,-13,1,8,-94,15858,289,905.7
2017.12.14_07.34.44,59,-108,-13,1,8,-94,13152,243,905.7
2017.12.14_07.34.45,59,-107,-13,1,7,-92,18565,342,905.7
2017.12.14_07.34.46,59,-107,-13,1,7,-92,11899,218,905.7
2017.12.14_07.34.48,59,-110,-13,2,7,-94,19191,353,905.7
2017.12.14_07.34.49,59,-110,-13,2,10,-89,44769,1014,905.7
2017.12.14_07.34.50,59,-108,-12,5,9,-91,38036,693,905.7
2017.12.14_07.34.51,59,-108,-12,5,9,-91,32702,590,905.7
2017.12.14_07.34.52,59,-106,-12,5,7,-89,29302,522,905.7
2017.12.14_07.34.53,59,-106,-12,5,9,-87,35580,1092,905.7
2017.12.14_07.34.54,59,-102,-12,7,8,-85,32400,580,905.7
2017.12.14_07.34.55,59,-102,-12,7,6,-87,22021,403,905.7
2017.12.14_07.34.56,59,-103,-13,6,6,-87,18576,337,905.7
2017.12.14_07.34.57,59,-103,-13,6,7,-90,28418,522,905.7
2017.12.14_07.34.59,59,-107,-12,3,7,-88,21182,388,905.7
2017.12.14_07.35.00,59,-107,-12,3,8,-83,36661,665,905.7
2017.12.14_07.35.01,59,-101,-12,5,8,-83,25309,463,905.7
