Time,Min,CPU_Frequency,Memory Usage,Wi-Fi RSSI Level,Screen Bright,Quality,Battery
3780062,01:03:00,676000,1821744,-75,255,720,83
3810087,01:03:30,676000,1815328,-65,255,720,83
3840069,01:04:00,676000,1800108,-62,255,720,83
3870102,01:04:30,676000,1769348,-62,255,720,83
3900085,01:05:00,546000,1775640,-64,12,720,83
3930059,01:05:30,1586000,1807744,-60,12,720,83
3960093,01:06:00,676000,1799080,-60,12,720,83
3990059,01:06:30,902000,1823448,-60,12,720,82
4020100,01:07:00,546000,1819536,-60,12,720,82
4050076,01:07:30,1144000,1800012,-60,12,720,82
4080096,01:08:00,1144000,1822396,-60,12,720,82
4110078,01:08:30,902000,1824136,-60,12,720,82
4140105,01:09:00,1586000,1796912,-64,12,720,82
4170087,01:09:30,546000,1789828,-63,12,720,82
4200095,01:10:00,546000,1824952,-67,12,720,82
4230090,01:10:30,1586000,1852036,-62,255,720,82
4260084,01:11:00,1586000,1825920,-72,255,720,82
4290101,01:11:30,1586000,1831988,-75,255,720,82
4320075,01:12:00,1586000,1816192,-86,255,720,81
4350094,01:12:30,1352000,1811364,-86,255,720,81
4380113,01:13:00,1248000,1824568,-89,255,720,81
4410094,01:13:30,676000,1810716,-87,255,720,81
4440082,01:14:00,902000,1826404,-81,255,720,81
4470114,01:14:30,839000,1803288,-86,255,720,81
4500097,01:15:00,902000,1824664,-82,255,720,81
4530077,01:15:30,902000,1800588,-85,255,720,81
4560069,01:16:00,546000,1819456,-81,255,720,81
4590106,01:16:30,757000,1820884,-86,255,720,81
4620087,01:17:00,676000,1795644,-79,255,720,81
4650112,01:17:30,1586000,1845744,-83,255,720,80
4680112,01:18:00,1586000,1799080,-83,255,720,80
4710112,01:18:30,676000,1823448,-79,255,720,80
4740112,01:19:00,902000,1819536,-85,255,720,80
4770112,01:19:30,546000,1800012,-81,255,720,80
4800112,01:20:00,1144000,1822396,-86,255,720,80
4830112,01:20:30,1144000,1824136,-80,255,720,80
4860112,01:21:00,902000,1796912,-85,255,720,80
4890112,01:21:30,1586000,1789828,-82,255,720,80
4920112,01:22:00,546000,1824952,-84,255,720,80
4950112,01:22:30,546000,1852036,-81,255,720,80
4980112,01:23:00,1586000,1825920,-83,255,720,80
5010112,01:23:30,1586000,1831988,-81,255,720,80
5040112,01:24:00,1586000,1816192,-84,255,720,79
5070112,01:24:30,1586000,1811364,-84,255,720,79
5100112,01:25:00,1352000,1824568,-78,255,720,79
5130112,01:25:30,1248000,1810716,-83,255,720,79
5160112,01:26:00,676000,1826404,-81,255,720,79
5190112,01:26:30,902000,1803288,-84,255,720,79
5220112,01:27:00,839000,1824664,-82,255,720,79
5250112,01:27:30,902000,1800588,-85,255,720,79
5280112,01:28:00,902000,1819456,-77,255,720,79
5310112,01:28:30,546000,1820884,-85,255,720,78
5340112,01:29:00,757000,1795644,-80,255,720,78
5370112,01:29:30,676000,1845744,-84,135,720,78
5400112,01:30:00,1586000,1799080,-77,135,720,78
5430112,01:30:30,1586000,1823448,-83,135,720,78
5460112,01:31:00,676000,1819536,-82,135,720,78
5490112,01:31:30,902000,1800012,-82,135,720,78
5520112,01:32:00,546000,1822396,-88,135,720,78
5550112,01:32:30,1144000,1824136,-79,135,720,78
5580112,01:33:00,1144000,1796912,-84,135,720,78
5610112,01:33:30,902000,1789828,-81,135,720,78
5640112,01:34:00,1586000,1824952,-83,135,720,78
5670112,01:34:30,546000,1852036,-81,135,720,78
5700112,01:35:00,546000,1825920,-74,135,720,78
5730112,01:35:30,1586000,1831988,-78,135,720,77
