Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi State,Wi-Fi RSSI Level,Screen Bright,Battery,GPS State,Quality,Download,Upload,,,,
1800061,00:30:00,1818496,1144000,44,3,-64,255,63,1,720,823,8,,,,
1810061,00:30:10,1768104,676000,44,3,-59,255,63,1,720,823,8,,,,
1820061,00:30:20,1796840,902000,44,3,-65,255,63,1,720,823,8,,,,
1830061,00:30:30,1798840,1014000,44,3,-65,255,63,1,720,823,8,,,,
1840061,00:30:40,1825740,902000,44,3,-58,255,63,1,720,823,8,,,,
1850061,00:30:50,1785440,757000,44,3,-64,255,62,1,720,823,8,,,,
1860061,00:31:00,1797888,1482000,44,3,-64,255,62,1,720,823,8,,,,
1870061,00:31:10,1818208,546000,44,3,-60,255,62,1,720,823,8,,,,
1880061,00:31:20,1818596,1586000,44,3,-65,255,62,1,720,823,8,,,,
1890061,00:31:30,1824656,1586000,44,3,-63,255,62,1,720,823,8,,,,
1900061,00:31:40,1806228,1586000,44,3,-64,255,62,1,720,823,8,,,,
1910061,00:31:50,1825040,1586000,44,3,-63,255,62,1,720,823,8,,,,
1920061,00:32:00,1776140,1586000,44,3,-65,255,62,1,720,823,8,,,,
1930061,00:32:10,1776368,1248000,44,3,-62,255,62,1,720,823,8,,,,
1940061,00:32:20,1777932,839000,44,3,-64,255,62,1,720,823,8,,,,
1950061,00:32:30,1779052,839000,44,3,-64,255,62,1,720,823,8,,,,
1960061,00:32:40,1792428,902000,44,3,-63,255,62,1,720,823,8,,,,
1970061,00:32:50,1811772,902000,44,3,-64,255,62,1,720,823,8,,,,
1980061,00:33:00,1821676,1248000,44,3,-62,255,62,1,720,823,8,,,,
1990061,00:33:10,1798432,1014000,44,3,-64,255,62,1,720,823,8,,,,
2000061,00:33:20,1815480,1144000,44,3,-64,255,62,1,720,823,8,,,,
2010061,00:33:30,1824668,1586000,44,3,-57,255,62,1,720,823,8,,,,
2020061,00:33:40,1814528,902000,44,3,-64,255,62,1,720,823,8,,,,
2030061,00:33:50,1812052,757000,44,3,-60,255,62,1,720,823,8,,,,
2040061,00:34:00,1810336,839000,44,3,-64,255,62,1,720,823,8,,,,
2050061,00:34:10,1788168,757000,44,3,-62,255,62,1,720,823,8,,,,
2060061,00:34:20,1805344,902000,44,3,-62,255,62,1,720,823,8,,,,
2070061,00:34:30,1825968,1586000,44,3,-64,255,62,1,720,823,8,,,,
2080061,00:34:40,1797040,676000,44,3,-63,255,62,1,720,823,8,,,,
2090061,00:34:50,1816492,902000,44,3,-64,255,62,1,720,823,8,,,,
2100061,00:35:00,1789576,902000,44,3,-56,255,62,1,720,823,8,,,,
2110061,00:35:10,1809356,902000,44,3,-64,255,62,1,720,823,8,,,,
2120061,00:35:20,1782116,902000,44,3,-63,255,62,1,720,823,8,,,,
2130061,00:35:30,1816880,1586000,44,3,-63,255,61,1,720,823,8,,,,
2140061,00:35:40,1796196,902000,44,3,-64,255,61,1,720,823,8,,,,
2150061,00:35:50,1808564,1586000,44,3,-63,255,61,1,720,823,8,,,,
2160061,00:36:00,1810656,1352000,44,3,-64,255,61,1,720,823,8,,,,
2170061,00:36:10,1819488,1586000,44,3,-63,255,61,1,720,823,8,,,,
2180061,00:36:20,1814972,1586000,44,3,-63,255,61,1,720,823,8,,,,
2190061,00:36:30,1824412,1248000,44,3,-64,255,61,1,720,823,8,,,,
2200061,00:36:40,1825200,1248000,44,3,-57,255,61,1,720,823,8,,,,
2210061,00:36:50,1811388,1352000,44,3,-57,255,61,1,720,823,8,,,,
2220061,00:37:00,1811256,1248000,44,3,-64,255,61,1,720,823,8,,,,
2230061,00:37:10,1819720,839000,44,3,-64,255,61,1,720,823,8,,,,
2240061,00:37:20,1803816,902000,44,3,-63,255,61,1,720,823,8,,,,
2250061,00:37:30,1813212,1248000,44,3,-64,255,61,1,720,823,8,,,,
2260061,00:37:40,1804116,676000,44,3,-63,255,61,1,720,823,8,,,,
2270061,00:37:50,1812492,757000,44,3,-64,255,61,1,720,823,8,,,,
2280061,00:38:00,1795580,1014000,44,3,-59,255,61,1,720,823,8,,,,
2290061,00:38:10,1789156,1248000,44,3,-65,255,61,1,720,823,8,,,,
2300061,00:38:20,1817648,546000,44,3,-65,255,61,1,720,823,8,,,,
2310061,00:38:30,1786348,546000,44,3,-63,255,61,1,720,823,8,,,,
