Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
590182,902000,3,-52,255,84
590283,1586000,3,-52,255,84
590383,902000,3,-52,255,84
590484,1248000,3,-52,255,84
590585,676000,3,-52,255,84
590686,546000,3,-52,255,84
590793,546000,3,-52,255,84
590891,676000,3,-52,255,84
590992,546000,3,-52,255,84
591047,902000,3,-52,255,84
591148,1586000,3,-52,255,84
591248,1586000,3,-52,255,84
591349,1144000,3,-52,255,84
591450,1248000,3,-52,255,84
591551,546000,3,-52,255,84
591652,546000,3,-52,255,84
591752,546000,3,-52,255,84
591853,902000,3,-52,255,84
591954,1248000,3,-52,255,84
592054,839000,3,-52,255,84
592155,1248000,3,-52,255,84
592255,1482000,3,-52,255,84
592356,1248000,3,-52,255,84
592457,1014000,3,-52,255,84
592558,546000,3,-52,255,84
592659,676000,3,-52,255,84
592760,676000,3,-52,255,84
592860,676000,3,-52,255,84
592961,676000,3,-52,255,84
593062,676000,3,-52,255,84
593162,1248000,3,-52,255,84
593262,1586000,3,-52,255,84
593363,1248000,3,-52,255,84
593464,1248000,3,-52,255,84
593564,1248000,3,-52,255,84
593665,1014000,3,-52,255,84
593767,546000,3,-52,255,84
593866,676000,3,-52,255,84
593967,676000,3,-52,255,84
594068,676000,3,-52,255,84
594169,902000,3,-52,255,84
594269,1248000,3,-52,255,84
594370,1248000,3,-52,255,84
594470,1248000,3,-52,255,84
594571,676000,3,-52,255,84
594672,546000,3,-52,255,84
594773,757000,3,-52,255,84
594873,757000,3,-52,255,84
594974,757000,3,-52,255,84
595075,839000,3,-52,255,84
595176,757000,3,-52,255,84
595276,1014000,3,-52,255,84
595377,1144000,3,-52,255,84
595478,1248000,3,-52,255,84
595580,676000,3,-52,255,84
595680,676000,3,-52,255,84
595781,676000,3,-52,255,84
595882,902000,3,-52,255,84
595982,546000,3,-52,255,84
596083,676000,3,-52,255,84
596184,902000,3,-52,255,84
596284,1586000,3,-52,255,84
596385,757000,3,-52,255,84
596485,1144000,3,-52,255,84
596586,1248000,3,-52,255,84
596687,546000,3,-52,255,84
596787,839000,3,-52,255,84
596888,902000,3,-52,255,84
596988,676000,3,-52,255,84
597089,757000,3,-52,255,84
597191,902000,3,-52,255,84
597292,1014000,3,-52,255,84
597392,1482000,3,-52,255,84
597493,676000,3,-52,255,84
597594,676000,3,-52,255,84
597695,902000,3,-52,255,84
597795,676000,3,-52,255,84
597896,676000,3,-52,255,84
597997,757000,3,-52,255,84
598097,676000,3,-52,255,84
598199,902000,3,-52,255,84
598299,1014000,3,-52,255,84
598403,902000,3,-52,255,84
598503,1248000,3,-52,255,84
598603,1248000,3,-52,255,84
598704,676000,3,-52,255,84
598805,676000,3,-52,255,84
598906,546000,3,-52,255,84
599006,676000,3,-52,255,84
599107,676000,3,-52,255,84
599211,902000,3,-52,255,84
599311,902000,3,-52,255,84
599363,676000,3,-52,255,84
599463,1248000,3,-52,255,84
599564,1144000,3,-52,255,84
599665,546000,3,-52,255,84
599766,546000,3,-52,255,84
599866,676000,3,-52,255,84
599967,676000,3,-52,255,84
600068,676000,3,-52,255,84
600170,546000,3,-52,255,84
600269,1144000,3,-52,255,84
600374,902000,3,-52,255,84
600475,1586000,3,-52,255,84
600576,1586000,3,-52,255,84
600676,1586000,3,-52,255,84
600777,676000,3,-52,255,84
600878,546000,3,-52,255,84
600979,839000,3,-52,255,84
601081,676000,3,-52,255,84
601182,757000,3,-52,255,84
601282,1014000,3,-52,255,84
601383,676000,3,-52,255,84
601483,1248000,3,-52,255,84
601584,1248000,3,-52,255,84
601684,676000,3,-52,255,84
601785,546000,3,-52,255,84
601887,902000,3,-52,255,84
601989,546000,3,-52,255,84
602091,546000,3,-52,255,84
602191,757000,3,-52,255,84
602291,1144000,3,-52,255,84
602392,902000,3,-52,255,84
602492,1482000,3,-52,255,84
602593,546000,3,-52,255,84
602693,1248000,3,-52,255,84
602794,1586000,3,-52,255,84
602894,757000,3,-52,255,84
602995,676000,3,-52,255,84
603096,757000,3,-52,255,84
603197,902000,3,-52,255,84
603297,1482000,3,-52,255,84
603398,1144000,3,-52,255,84
603498,1586000,3,-52,255,84
603599,546000,3,-52,255,84
603700,676000,3,-52,255,84
603800,839000,3,-52,255,84
603901,839000,3,-52,255,84
604002,902000,3,-52,255,84
604103,676000,3,-52,255,84
604203,902000,3,-52,255,84
604304,1144000,3,-52,255,84
604404,1482000,3,-52,255,84
604505,1352000,3,-52,255,84
604605,546000,3,-52,255,84
604706,546000,3,-52,255,84
604807,757000,3,-52,255,84
604907,757000,3,-52,255,84
605009,757000,3,-52,255,84
605112,757000,3,-52,255,84
605210,1014000,3,-52,255,84
605310,1144000,3,-52,255,84
605410,1352000,3,-52,255,84
605511,676000,3,-52,255,84
605612,757000,3,-52,255,84
605713,676000,3,-52,255,84
605813,676000,3,-52,255,84
605914,676000,3,-52,255,84
606015,676000,3,-52,255,84
606116,757000,3,-52,255,84
606216,1014000,3,-52,255,84
606317,902000,3,-52,255,84
606417,1248000,3,-52,255,84
606518,1248000,3,-52,255,84
606618,757000,3,-52,255,84
606719,676000,3,-52,255,84
606820,676000,3,-52,255,84
606921,757000,3,-52,255,84
