Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.01_21.58.56,3,-113,-17,-7,7,-94,1129,21,1145.36
2017.12.01_21.58.57,3,-113,-17,-7,6,-94,1319,40,1145.36
2017.12.01_21.58.58,3,-115,-18,-9,5,-94,290,12,1145.36
2017.12.01_21.59.00,3,-115,-18,-9,2,-94,1330,45,1145.36
2017.12.01_21.59.01,3,-114,-17,-6,6,-94,1305,36,1145.36
2017.12.01_21.59.02,3,-114,-17,-6,6,-94,894,17,1145.36
2017.12.01_21.59.03,3,-118,-19,-5,5,-94,827,16,1145.36
2017.12.01_21.59.04,3,-118,-19,-5,7,-94,424,8,1145.36
2017.12.01_21.59.05,3,-117,-19,-8,7,-94,592,11,1145.36
2017.12.01_21.59.06,3,-117,-19,-8,7,-94,939,32,1145.36
2017.12.01_21.59.07,3,-118,-19,-9,7,-94,861,16,1145.36
2017.12.01_21.59.08,3,-118,-19,-9,5,-94,178,7,1145.36
2017.12.01_21.59.09,3,-119,-20,-9,5,-94,939,27,1145.36
2017.12.01_21.59.11,3,-119,-20,-9,5,-94,313,7,1145.36
2017.12.01_21.59.12,3,-119,-20,-8,5,-94,503,23,1145.36
2017.12.01_21.59.13,3,-119,-20,-9,4,-94,1129,21,1145.36
2017.12.01_21.59.14,3,-122,-21,-9,5,-94,592,11,1145.36
2017.12.01_21.59.15,3,-122,-21,-9,5,-94,559,10,1145.36
2017.12.01_21.59.16,3,-118,-18,-7,5,-94,1330,24,1145.36
2017.12.01_21.59.17,3,-118,-18,-7,5,-94,659,12,1145.36
2017.12.01_21.59.18,3,-120,-17,-10,2,-94,190,9,1145.36
2017.12.01_21.59.19,3,-120,-17,-10,2,-94,973,18,1145.36
2017.12.01_21.59.21,3,-120,-17,-7,2,-94,1498,30,1145.36
2017.12.01_21.59.22,3,-120,-17,-7,2,-94,726,17,1145.36
2017.12.01_21.59.23,3,-119,-17,-5,2,-94,961,31,1145.36
2017.12.01_21.59.24,3,-119,-17,-5,2,-94,626,25,1145.36
2017.12.01_21.59.25,3,-118,-18,-8,6,-94,246,5,1145.36
2017.12.01_21.59.26,3,-118,-18,-8,5,-94,1196,33,1145.36
2017.12.01_21.59.27,3,-121,-21,-9,5,-94,167,4,1145.36
2017.12.01_21.59.28,3,-121,-21,-9,5,-94,1096,28,1145.36
2017.12.01_21.59.29,3,-121,-21,-9,4,-94,100,3,1145.36
2017.12.01_21.59.31,3,-121,-21,-9,2,-94,861,27,1145.36
2017.12.01_21.59.32,3,-111,-17,-8,6,-94,1588,29,1145.36
2017.12.01_21.59.33,3,-111,-17,-8,6,-94,1990,37,1145.36
2017.12.01_21.59.34,3,-107,-16,-6,8,-90,2147,40,1145.36
2017.12.01_21.59.35,3,-107,-16,-6,7,-93,335,9,1145.36
2017.12.01_21.59.36,3,-110,-17,-5,7,-93,615,20,1145.36
2017.12.01_21.59.37,3,-110,-17,-5,7,-93,268,11,1145.36
2017.12.01_21.59.38,3,-107,-16,-10,8,-85,2147,42,1145.36
2017.12.01_21.59.39,3,-107,-16,-10,8,-85,838,22,1145.36
2017.12.01_21.59.41,3,-104,-15,-7,5,-85,1979,37,800.51
2017.12.01_21.59.42,3,-104,-15,-7,5,-85,592,14,800.51
2017.12.01_21.59.43,3,-99,-15,-6,2,-82,1610,32,507.9
2017.12.01_21.59.44,3,-99,-15,-6,10,-80,13666,254,507.9
2017.12.01_21.59.45,3,-97,-13,-2,10,-80,4495,84,507.9
2017.12.01_21.59.46,3,-97,-13,-2,8,-84,13801,257,507.9
2017.12.01_21.59.47,3,-101,-14,0,8,-79,18050,335,507.9
2017.12.01_21.59.49,3,-101,-14,0,7,-84,13107,244,507.9
2017.12.01_21.59.50,3,-96,-13,1,8,-79,20802,386,507.9
2017.12.01_21.59.51,3,-96,-13,1,8,-79,11508,219,507.9
2017.12.01_21.59.52,3,-96,-14,4,8,-79,13603,657,507.9
2017.12.01_21.59.53,3,-96,-14,4,8,-79,5677,191,507.9
2017.12.01_21.59.54,3,-100,-14,2,10,-80,14897,283,507.9
2017.12.01_21.59.55,3,-100,-14,2,10,-77,17760,396,507.9
2017.12.01_21.59.56,3,-94,-13,4,12,-75,28329,530,507.9
2017.12.01_21.59.57,3,-94,-13,4,8,-79,21271,378,507.9
2017.12.01_21.59.59,3,-96,-13,6,8,-83,12179,282,507.9
2017.12.01_22.00.00,3,-96,-13,6,8,-83,12179,230,507.9
2017.12.01_22.00.01,3,-101,-15,1,8,-83,8477,158,507.9
2017.12.01_22.00.02,3,-101,-15,1,10,-80,19907,428,507.9
2017.12.01_22.00.03,3,-95,-13,3,11,-74,15679,293,507.9
2017.12.01_22.00.04,3,-95,-13,3,12,-74,27099,501,507.9
2017.12.01_22.00.05,3,-92,-10,7,11,-74,11352,211,507.9
2017.12.01_22.00.06,3,-92,-10,7,11,-74,15546,288,507.9
2017.12.01_22.00.08,3,-95,-13,7,11,-74,16731,312,507.9
2017.12.01_22.00.09,3,-95,-13,7,6,-83,8320,154,507.9
2017.12.01_22.00.10,3,-99,-14,3,6,-83,20444,382,507.9
2017.12.01_22.00.11,3,-99,-14,3,9,-79,12716,232,507.9
2017.12.01_22.00.12,3,-94,-13,4,8,-77,18151,337,507.9
2017.12.01_22.00.13,3,-94,-13,4,9,-83,27569,467,507.9
2017.12.01_22.00.14,3,-100,-13,3,11,-83,11586,400,507.9
2017.12.01_22.00.15,3,-100,-13,3,9,-83,13733,252,507.9
2017.12.01_22.00.16,3,-97,-13,4,9,-83,15534,262,507.9
2017.12.01_22.00.18,3,-97,-13,4,9,-83,20455,380,507.9
2017.12.01_22.00.19,3,-99,-13,5,9,-82,25309,445,507.9
2017.12.01_22.00.20,3,-99,-13,5,9,-82,17737,329,507.9
2017.12.01_22.00.21,3,-96,-12,3,9,-79,9394,178,507.9
2017.12.01_22.00.22,3,-96,-12,3,5,-82,8197,249,507.9
2017.12.01_22.00.23,3,-99,-13,2,10,-76,16216,304,507.9
2017.12.01_22.00.24,3,-99,-13,2,10,-78,10714,199,507.9
2017.12.01_22.00.25,3,-95,-13,3,10,-78,16060,298,507.9
2017.12.01_22.00.26,3,-95,-13,3,10,-78,12425,230,507.9
2017.12.01_22.00.28,3,-97,-13,3,9,-80,24806,574,507.9
2017.12.01_22.00.29,3,-97,-13,3,9,-82,23542,427,507.9
2017.12.01_22.00.30,3,-96,-10,4,9,-79,21093,447,507.9
2017.12.01_22.00.31,3,-96,-10,4,9,-84,14226,264,507.9
2017.12.01_22.00.32,3,-97,-13,3,8,-83,10535,200,507.9
2017.12.01_22.00.33,3,-97,-13,3,8,-83,11217,215,507.9
2017.12.01_22.00.34,3,-99,-13,2,8,-83,14494,269,507.9
2017.12.01_22.00.35,3,-99,-13,2,8,-83,12268,280,507.9
2017.12.01_22.00.37,3,-101,-15,-1,8,-83,15008,362,507.9
2017.12.01_22.00.37,3,-101,-15,-1,8,-83,15008,362,424.76
2017.12.01_22.00.38,3,-101,-15,-1,5,-88,11608,215,424.76
2017.12.01_22.00.39,3,-105,-15,-3,5,-88,12358,229,424.76
2017.12.01_22.00.40,3,-105,-15,-3,5,-88,5961,111,424.76
2017.12.01_22.00.41,3,-106,-16,-5,5,-88,3780,70,424.76
2017.12.01_22.00.42,3,-106,-16,-5,5,-88,3813,101,424.76
2017.12.01_22.00.43,3,-104,-17,-5,5,-86,2796,55,424.76
2017.12.01_22.00.44,3,-104,-17,-5,4,-88,5111,105,424.76
2017.12.01_22.00.45,3,-105,-19,-7,4,-88,6408,118,424.76
2017.12.01_22.00.47,3,-105,-19,-7,4,-88,4540,84,424.76
2017.12.01_22.00.48,3,-105,-16,-8,4,-88,8097,151,424.76
2017.12.01_22.00.49,3,-105,-16,-8,4,-88,6553,122,424.76
2017.12.01_22.00.50,3,-99,-14,-7,2,-82,6587,122,899.37
