QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoA-frame_rate,QoD-cpu_mhz-avg,QoD_cpu-nbr,QoD-cpu_core-nbr,QoD_screen-resolotion,QoD_screen-mhz,QoD-ram_clock-speed,QoD_ram-size,MOS
4608,0.435,0.049,1,0,1080,2089.4,32.2,733.9140798,4,2,1366 x 768,76.5,1333,4096,5
3584,0.377,0.056,1,0,720,2102.8,32.4,565.9996946,8,4,1920 x 1200,154,1600,4096,5
3584,0.322,0.055,1,0,1080,2154.4,32,848.9995419,8,4,1920 x 1200,154,1600,4096,5
4096,0.334,0.065,1,0,1080,2517.4,30.06666667,748.7472171,8,4,1920 x 1200,154,1600,4096,5
2048,0.339,0.035,1,0,240,263.2,32,182.8776154,2,1,1024 x 600,58.8,533,1024,3
1536,0.301,0.037,1,0,240,265.6,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,3
2048,0.438,0.04,1,0,240,266.2,32,801.8590899,4,2,1366 x 768,76.5,1333,4096,2
2048,0.408,0.033,1,0,240,283.6,32,794.4593472,4,2,1366 x 768,76.5,1333,4096,3
4096,0.496,0.116,2,2,720,2842.2,32.73333333,894.924095,8,4,1920 x 1200,154,1600,4096,5
4096,0.307,0.049,2,2,720,2885.2,27.93333333,787.0872855,4,2,1366 x 768,76.5,1333,4096,4
2048,0.48,0.074,1,0,240,292.2,32.06666667,0,8,4,1920 x 1200,154,1600,4096,3
2048,0.469,0.066,1,0,240,308.8,32,848.9995419,8,4,1920 x 1200,154,1600,4096,3
1536,0.37,0.035,1,0,240,311.8,32,222.0050049,2,1,1024 x 600,58.8,533,1024,3
4608,0.328,0.039,2,2,1080,3135.8,32.53333333,719.7376751,4,2,1366 x 768,76.5,1333,4096,5
1536,0.303,0.065,1,0,240,315.6,34,0,2,1,1024 x 600,58.8,533,1024,3
3584,0.33,0.052,2,2,720,3209.2,36.26666667,83.9100047,2,1,1024 x 600,58.8,533,1024,5
2048,0.505,0.051,1,0,240,323.8,31.93333333,748.7472171,8,4,1920 x 1200,154,1600,4096,3
2048,0.303,0.065,1,0,240,328.4,33.93333333,83.9100047,2,1,1024 x 600,58.8,533,1024,3
2048,0.416,0.07,1,0,240,333.25,32.58333333,801.8590899,4,2,1366 x 768,76.5,1333,4096,2
2048,0.305,0.061,1,0,240,333.4,34.2,0,2,1,1024 x 600,58.8,533,1024,3
4096,0.407,0.063,2,2,720,3403.6,32.06666667,0,4,2,1366 x 768,76.5,1333,4096,5
1536,0.534,0.053,1,0,240,341.25,32.58333333,111.0025025,2,1,1024 x 600,58.8,533,1024,3
4608,0.495,0.043,2,2,1080,3421.2,30,894.924095,8,4,1920 x 1200,154,1600,4096,5
4608,0.344,0.049,2,2,1080,3437.8,30.13333333,848.9995419,8,4,1920 x 1200,154,1600,4096,5
4608,0.39,0.059,2,2,1080,3479.4,32.06666667,520.8826791,4,2,1366 x 768,76.5,1333,4096,4
1024,0.328,0.052,1,0,240,351.8,32.06666667,83.9100047,2,1,1024 x 600,58.8,533,1024,3
4096,0.465,0.032,2,2,720,3514.6,32.06666667,894.924095,8,4,1920 x 1200,154,1600,4096,4
4096,0.435,0.049,2,2,720,3711.8,32.26666667,707.1732461,4,2,1366 x 768,76.5,1333,4096,5
1024,0.308,0.055,1,0,240,375.2,32,894.924095,8,4,1920 x 1200,154,1600,4096,2
2048,0.449,0.047,1,0,240,375.2,32.06666667,0,2,1,1024 x 600,58.8,533,1024,3
1024,0.3,0.039,1,0,240,375.4,32,694.4756793,4,2,1366 x 768,76.5,1333,4096,3
1536,0.436,0.046,1,0,240,375.4,32,346.0109183,4,2,1366 x 768,76.5,1333,4096,3
2048,0.497,0.045,1,0,240,375.4,30,845.2336955,4,2,1366 x 768,76.5,1333,4096,3
2048,0.415,0.054,1,0,240,375.4,32,0,4,2,1366 x 768,76.5,1333,4096,3
2048,0.477,0.057,1,0,240,375.4,32,848.9995419,8,4,1920 x 1200,154,1600,4096,3
1024,0.323,0.037,1,0,240,376.2,32,894.924095,8,4,1920 x 1200,154,1600,4096,2
2048,0.292,0.037,1,0,240,376.6,31.93333333,845.2336955,4,2,1366 x 768,76.5,1333,4096,3
