TimeMS,Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Screen Bright,Battery,Download,Upload,Quality
1500060,1500,00:25:00,1784976,1248000,44,-62,142,75,28,3,360
1510060,1510,00:25:10,1822884,1248000,44,-65,142,75,28,3,360
1520060,1520,00:25:20,1804148,676000,44,-63,142,75,28,3,360
1530060,1530,00:25:30,1798860,1248000,44,-68,142,75,28,3,360
1540060,1540,00:25:40,1804164,546000,44,-62,142,75,28,3,360
1550060,1550,00:25:50,1824972,676000,44,-66,142,75,28,3,360
1560060,1560,00:26:00,1825912,1586000,40,-64,255,74,841,12,360
1570060,1570,00:26:10,1812464,1482000,40,-63,255,74,841,12,360
1580060,1580,00:26:20,1825724,1586000,40,-64,255,74,841,12,360
1590060,1590,00:26:30,1800752,1586000,40,-63,255,74,841,12,360
1600060,1600,00:26:40,1786508,1586000,40,-63,255,74,841,12,360
1610060,1610,00:26:50,1824468,1586000,40,-64,255,74,841,12,360
1620060,1620,00:27:00,1808188,1586000,40,-59,255,74,841,12,360
1630060,1630,00:27:10,1818868,1586000,40,-59,255,74,841,12,360
1640060,1640,00:27:20,1825700,1586000,40,-59,255,74,841,12,360
1650060,1650,00:27:30,1815692,1586000,40,-59,255,74,841,12,360
1660060,1660,00:27:40,1780136,1586000,40,-59,255,74,841,12,360
1670060,1670,00:27:50,1824976,1586000,40,-59,255,74,841,12,360
1680060,1680,00:28:00,1824672,1586000,40,-59,255,74,841,12,360
1690060,1690,00:28:10,1820468,1586000,40,-64,255,74,841,12,360
1700060,1700,00:28:20,1801296,1586000,40,-62,255,74,841,12,360
1710060,1710,00:28:30,1803884,902000,40,-73,255,74,841,12,360
1720060,1720,00:28:40,1781020,1586000,40,-58,255,74,841,12,360
1730060,1730,00:28:50,1823168,1586000,40,-58,255,74,841,12,360
1740060,1740,00:29:00,1825396,1586000,40,-58,255,73,841,12,360
1750060,1750,00:29:10,1811168,1586000,40,-58,255,73,841,12,360
1760060,1760,00:29:20,1813676,1586000,40,-66,255,73,841,12,360
1770060,1770,00:29:30,1809940,1586000,40,-62,255,73,841,12,360
1780060,1780,00:29:40,1814312,1586000,40,-62,255,73,841,12,360
1790060,1790,00:29:50,1824228,1586000,40,-64,255,73,841,12,360
1800060,1800,00:30:00,1820236,1586000,40,-63,255,73,841,12,360
1810060,1810,00:30:10,1819460,1586000,40,-63,255,73,841,12,360
1820060,1820,00:30:20,1823572,902000,40,-64,255,73,841,12,360
1830060,1830,00:30:30,1815688,1586000,40,-63,255,73,841,12,360
1840060,1840,00:30:40,1817644,546000,40,-64,255,73,841,12,360
1850060,1850,00:30:50,1801300,1586000,40,-63,255,73,841,12,360
1860060,1860,00:31:00,1821220,1586000,40,-63,255,73,841,12,360
1870060,1870,00:31:10,1826152,1586000,40,-63,255,73,841,12,360
1880060,1880,00:31:20,1782304,1482000,40,-63,255,73,841,12,360
1890060,1890,00:31:30,1814816,1586000,40,-63,255,73,841,12,360
1900060,1900,00:31:40,1805320,1586000,40,-63,255,73,841,12,360
1910060,1910,00:31:50,1804296,1482000,40,-63,255,73,841,12,360
1920060,1920,00:32:00,1794652,1248000,40,-63,255,73,841,12,360
1930060,1930,00:32:10,1823332,839000,40,-63,255,73,841,12,360
1940060,1940,00:32:20,1793052,902000,40,-63,255,73,841,12,360
1950060,1950,00:32:30,1809272,902000,40,-64,255,73,841,12,360
1960060,1960,00:32:40,1792388,902000,40,-64,255,73,841,12,360
1970060,1970,00:32:50,1799192,902000,40,-61,255,73,841,12,360
1980060,1980,00:33:00,1802536,902000,40,-64,255,73,841,12,360
1990060,1990,00:33:10,1823552,676000,40,-58,255,73,841,12,360
2000060,2000,00:33:20,1806960,902000,40,-58,255,73,841,12,360
2010060,2010,00:33:30,1814476,676000,40,-64,255,73,841,12,360
2020060,2020,00:33:40,1812804,902000,40,-64,255,73,841,12,360
2030060,2030,00:33:50,1812044,902000,40,-63,255,73,841,12,360
2040060,2040,00:34:00,1795016,839000,40,-64,255,73,841,12,360
2050060,2050,00:34:10,1805300,839000,40,-61,255,72,841,12,360
2060060,2060,00:34:20,1796876,902000,40,-65,255,72,841,12,360
2070060,2070,00:34:30,1809648,757000,40,-61,255,72,841,12,360
2080060,2080,00:34:40,1777308,546000,40,-64,255,72,841,12,360
2090060,2090,00:34:50,1823360,1248000,40,-64,255,72,841,12,360
2100060,2100,00:35:00,1816384,839000,40,-63,255,72,841,12,360
2110060,2110,00:35:10,1817384,1586000,40,-64,255,72,841,12,360
